Category,Supplier,Sell Price,Buy Cost,Shipping Cost,Fee %,Ad Cost,Units,Revenue,Product Cost,Shipping Total,Fees Cost,Refund Flag,Refund Cost,Total Cost,Net Profit,Margin %,ROAS,Order Status
Kitchen,Foshan Appliances,$45.76,$17.04,$6.33,$0.03,$6.30,$1.00,$45.76,$17.04,$6.33,$1.37,No,$0.00,$31.04,$14.72,32.2%,7.26,Delivered
Pets,Yiwu Pet Products,$18.46,$3.65,$2.44,$0.03,$3.75,$1.00,$18.46,$3.65,$2.44,$0.55,No,$0.00,$10.39,$8.07,43.7%,4.92,Delivered
Home Decor,Yiwu Lighting Factory,$26.14,$6.00,$3.45,$0.03,$2.11,$2.00,$52.28,$12.00,$6.90,$1.57,No,$0.00,$22.58,$29.70,56.8%,24.78,Delivered
Electronics,Shenzhen Print Tech,$65.57,$20.99,$6.70,$0.03,$6.09,$1.00,$65.57,$20.99,$6.70,$1.97,No,$0.00,$35.75,$29.82,45.5%,10.77,Delivered
Accessories,Guangzhou Cases Ltd.,$15.26,$2.10,$2.09,$0.03,$17.77,$2.00,$30.52,$4.20,$4.18,$0.92,No,$0.00,$27.07,$3.45,11.3%,1.72,Delivered
Accessories,Guangzhou Cases Ltd.,$13.59,$2.15,$2.28,$0.03,$0.00,$2.00,$27.18,$4.30,$4.56,$0.82,No,$0.00,$9.68,$17.50,64.4%,0.00,Delivered
Pets,Yiwu Pet Products,$20.16,$3.67,$2.74,$0.03,$2.20,$1.00,$20.16,$3.67,$2.74,$0.60,No,$0.00,$9.21,$10.95,54.3%,9.16,Delivered
Beauty,Ningbo Beauty Supply,$31.44,$6.67,$4.50,$0.03,$6.40,$2.00,$62.88,$13.34,$9.00,$1.89,No,$0.00,$30.63,$32.25,51.3%,9.83,Delivered
Automotive,Dongguan Auto Tools,$41.30,$14.57,$5.91,$0.03,$1.32,$1.00,$41.30,$14.57,$5.91,$1.24,No,$0.00,$23.04,$18.26,44.2%,31.29,Delivered
Home Decor,Yiwu Lighting Factory,$26.07,$6.34,$3.62,$0.03,$4.26,$1.00,$26.07,$6.34,$3.62,$0.78,No,$0.00,$15.00,$11.07,42.5%,6.12,Delivered
Beauty,Ningbo Beauty Supply,$31.97,$7.00,$4.13,$0.03,$15.35,$3.00,$95.91,$21.00,$12.39,$2.88,No,$0.00,$51.62,$44.29,46.2%,6.25,Delivered
Beauty,Ningbo Beauty Supply,$33.04,$7.26,$5.09,$0.03,$7.48,$3.00,$99.12,$21.78,$15.27,$2.97,No,$0.00,$47.50,$51.62,52.1%,13.25,Delivered
Fitness,Hangzhou Health Gear,$37.53,$8.80,$4.02,$0.03,$12.54,$2.00,$75.06,$17.60,$8.04,$2.25,No,$0.00,$40.43,$34.63,46.1%,5.99,Delivered
Pets,Yiwu Pet Products,$18.32,$3.59,$2.52,$0.03,$4.15,$1.00,$18.32,$3.59,$2.52,$0.55,No,$0.00,$10.81,$7.51,41.0%,4.41,Delivered
Electronics,Shenzhen Audio Co.,$42.43,$8.53,$4.55,$0.03,$3.43,$1.00,$42.43,$8.53,$4.55,$1.27,No,$0.00,$17.78,$24.65,58.1%,12.37,Delivered
Accessories,Guangzhou Cases Ltd.,$16.68,$2.07,$2.28,$0.03,$0.00,$1.00,$16.68,$2.07,$2.28,$0.50,No,$0.00,$4.85,$11.83,70.9%,0.00,Delivered
Electronics,Shenzhen Print Tech,$64.40,$22.42,$6.60,$0.03,$17.14,$2.00,$128.80,$44.84,$13.20,$3.86,No,$0.00,$79.04,$49.76,38.6%,7.51,Delivered
Pets,Yiwu Pet Products,$18.44,$3.58,$2.58,$0.03,$11.91,$3.00,$55.32,$10.74,$7.74,$1.66,No,$0.00,$32.05,$23.27,42.1%,4.64,Delivered
Automotive,Dongguan Auto Tools,$48.51,$14.89,$7.02,$0.03,$22.81,$3.00,$145.53,$44.67,$21.06,$4.37,No,$0.00,$92.91,$52.62,36.2%,6.38,Delivered
Electronics,Shenzhen Print Tech,$57.44,$21.63,$7.98,$0.03,$14.62,$3.00,$172.32,$64.89,$23.94,$5.17,No,$0.00,$108.62,$63.70,37.0%,11.79,Delivered
Home Decor,Yiwu Lighting Factory,$27.98,$6.03,$3.33,$0.03,$9.13,$1.00,$27.98,$6.03,$3.33,$0.84,No,$0.00,$19.33,$8.65,30.9%,3.06,Delivered
Automotive,Dongguan Auto Tools,$46.89,$13.49,$7.37,$0.03,$6.20,$2.00,$93.78,$26.98,$14.74,$2.81,No,$0.00,$50.73,$43.05,45.9%,15.13,Delivered
Fitness,Hangzhou Health Gear,$34.80,$9.45,$4.36,$0.03,$2.63,$1.00,$34.80,$9.45,$4.36,$1.04,No,$0.00,$17.48,$17.32,49.8%,13.23,Delivered
Automotive,Dongguan Auto Tools,$49.25,$13.43,$7.47,$0.03,$0.00,$2.00,$98.50,$26.86,$14.94,$2.96,No,$0.00,$44.76,$53.74,54.6%,0.00,Delivered
Electronics,Shenzhen Audio Co.,$39.00,$8.58,$3.72,$0.03,$18.54,$2.00,$78.00,$17.16,$7.44,$2.34,Yes,$48.77,$94.25,-$16.25,-20.8%,4.21,Refunded
Automotive,Dongguan Auto Tools,$42.00,$15.00,$6.15,$0.03,$14.04,$2.00,$84.00,$30.00,$12.30,$2.52,No,$0.00,$58.86,$25.14,29.9%,5.98,Delivered
Automotive,Dongguan Auto Tools,$49.59,$14.68,$6.35,$0.03,$20.57,$2.00,$99.18,$29.36,$12.70,$2.98,No,$0.00,$65.61,$33.57,33.8%,4.82,Delivered
Home Decor,Yiwu Lighting Factory,$27.67,$6.27,$3.82,$0.03,$20.76,$2.00,$55.34,$12.54,$7.64,$1.66,No,$0.00,$42.60,$12.74,23.0%,2.67,Delivered
Electronics,Shenzhen Audio Co.,$43.15,$8.99,$4.25,$0.03,$5.04,$2.00,$86.30,$17.98,$8.50,$2.59,No,$0.00,$34.11,$52.19,60.5%,17.12,Delivered
Kitchen,Foshan Appliances,$54.76,$15.60,$6.80,$0.03,$12.72,$2.00,$109.52,$31.20,$13.60,$3.29,No,$0.00,$60.81,$48.71,44.5%,8.61,Delivered
Home Decor,Yiwu Lighting Factory,$26.34,$6.22,$3.46,$0.03,$7.78,$2.00,$52.68,$12.44,$6.92,$1.58,No,$0.00,$28.72,$23.96,45.5%,6.77,Delivered
Accessories,Guangzhou Cases Ltd.,$16.52,$2.09,$2.06,$0.03,$7.93,$3.00,$49.56,$6.27,$6.18,$1.49,No,$0.00,$21.87,$27.69,55.9%,6.25,Delivered
Lifestyle,Shenzhen Smart Home,$29.92,$10.79,$3.97,$0.03,$4.96,$1.00,$29.92,$10.79,$3.97,$0.90,No,$0.00,$20.62,$9.30,31.1%,6.03,Delivered
Lifestyle,Shenzhen Smart Home,$31.18,$9.82,$3.68,$0.03,$0.00,$1.00,$31.18,$9.82,$3.68,$0.94,No,$0.00,$14.44,$16.74,53.7%,0.00,Delivered
Fitness,Hangzhou Health Gear,$34.78,$8.89,$4.35,$0.03,$1.76,$1.00,$34.78,$8.89,$4.35,$1.04,No,$0.00,$16.04,$18.74,53.9%,19.76,Delivered
Beauty,Ningbo Beauty Supply,$29.27,$6.92,$5.00,$0.03,$13.55,$3.00,$87.81,$20.76,$15.00,$2.63,No,$0.00,$51.94,$35.87,40.8%,6.48,Delivered
Automotive,Dongguan Auto Tools,$44.55,$14.85,$6.53,$0.03,$25.47,$3.00,$133.65,$44.55,$19.59,$4.01,No,$0.00,$93.62,$40.03,30.0%,5.25,Delivered
Electronics,Shenzhen Print Tech,$64.73,$23.25,$7.52,$0.03,$5.70,$1.00,$64.73,$23.25,$7.52,$1.94,No,$0.00,$38.41,$26.32,40.7%,11.36,Delivered
Beauty,Ningbo Beauty Supply,$27.58,$7.00,$4.42,$0.03,$22.58,$3.00,$82.74,$21.00,$13.26,$2.48,No,$0.00,$59.32,$23.42,28.3%,3.66,Delivered
Fitness,Hangzhou Health Gear,$31.75,$9.61,$3.74,$0.03,$4.88,$1.00,$31.75,$9.61,$3.74,$0.95,No,$0.00,$19.18,$12.57,39.6%,6.51,Delivered
Lifestyle,Shenzhen Smart Home,$34.09,$10.59,$3.88,$0.03,$15.15,$2.00,$68.18,$21.18,$7.76,$2.05,No,$0.00,$46.14,$22.04,32.3%,4.50,Delivered
Accessories,Guangzhou Cases Ltd.,$14.19,$2.10,$1.84,$0.03,$4.38,$2.00,$28.38,$4.20,$3.68,$0.85,No,$0.00,$13.11,$15.27,53.8%,6.48,Delivered
Fitness,Hangzhou Health Gear,$34.48,$9.44,$3.91,$0.03,$5.67,$1.00,$34.48,$9.44,$3.91,$1.03,No,$0.00,$20.05,$14.43,41.9%,6.08,Delivered
Pets,Yiwu Pet Products,$19.11,$3.56,$2.41,$0.03,$0.00,$2.00,$38.22,$7.12,$4.82,$1.15,No,$0.00,$13.09,$25.13,65.8%,0.00,Delivered
Accessories,Guangzhou Cases Ltd.,$16.12,$1.99,$2.23,$0.03,$8.00,$1.00,$16.12,$1.99,$2.23,$0.48,No,$0.00,$12.70,$3.42,21.2%,2.02,Delivered
Automotive,Dongguan Auto Tools,$46.75,$14.25,$7.27,$0.03,$14.75,$3.00,$140.25,$42.75,$21.81,$4.21,No,$0.00,$83.52,$56.73,40.4%,9.51,Delivered
Accessories,Guangzhou Cases Ltd.,$15.08,$2.10,$2.18,$0.03,$2.91,$1.00,$15.08,$2.10,$2.18,$0.45,No,$0.00,$7.64,$7.44,49.3%,5.18,Delivered
Electronics,Shenzhen Print Tech,$66.57,$22.75,$7.57,$0.03,$9.93,$2.00,$133.14,$45.50,$15.14,$3.99,No,$0.00,$74.56,$58.58,44.0%,13.41,Delivered
Fitness,Hangzhou Health Gear,$37.69,$8.65,$4.04,$0.03,$9.37,$1.00,$37.69,$8.65,$4.04,$1.13,No,$0.00,$23.19,$14.50,38.5%,4.02,Delivered
Fitness,Hangzhou Health Gear,$35.31,$9.02,$3.89,$0.03,$8.50,$3.00,$105.93,$27.06,$11.67,$3.18,No,$0.00,$50.41,$55.52,52.4%,12.46,Delivered
Automotive,Dongguan Auto Tools,$50.03,$13.96,$6.49,$0.03,$6.15,$1.00,$50.03,$13.96,$6.49,$1.50,No,$0.00,$28.10,$21.93,43.8%,8.13,Delivered
Automotive,Dongguan Auto Tools,$47.03,$15.02,$6.13,$0.03,$2.67,$1.00,$47.03,$15.02,$6.13,$1.41,No,$0.00,$25.23,$21.80,46.4%,17.61,Delivered
Accessories,Guangzhou Cases Ltd.,$16.40,$2.12,$1.94,$0.03,$19.50,$2.00,$32.80,$4.24,$3.88,$0.98,No,$0.00,$28.60,$4.20,12.8%,1.68,Delivered
Kitchen,Foshan Appliances,$48.53,$15.84,$6.67,$0.03,$0.00,$1.00,$48.53,$15.84,$6.67,$1.46,No,$0.00,$23.97,$24.56,50.6%,0.00,Delivered
Pets,Yiwu Pet Products,$21.97,$3.75,$2.33,$0.03,$1.32,$1.00,$21.97,$3.75,$2.33,$0.66,No,$0.00,$8.06,$13.91,63.3%,16.64,Delivered
Electronics,Shenzhen Audio Co.,$36.72,$8.71,$4.51,$0.03,$9.99,$2.00,$73.44,$17.42,$9.02,$2.20,No,$0.00,$38.63,$34.81,47.4%,7.35,Delivered
Lifestyle,Shenzhen Smart Home,$30.92,$10.64,$4.05,$0.03,$18.18,$2.00,$61.84,$21.28,$8.10,$1.86,No,$0.00,$49.42,$12.42,20.1%,3.40,Delivered
Lifestyle,Shenzhen Smart Home,$32.56,$10.49,$3.68,$0.03,$8.22,$1.00,$32.56,$10.49,$3.68,$0.98,No,$0.00,$23.37,$9.19,28.2%,3.96,Delivered
Home Decor,Yiwu Lighting Factory,$24.97,$5.79,$3.50,$0.03,$20.49,$3.00,$74.91,$17.37,$10.50,$2.25,No,$0.00,$50.61,$24.30,32.4%,3.66,Delivered
Automotive,Dongguan Auto Tools,$47.52,$13.77,$6.11,$0.03,$0.00,$2.00,$95.04,$27.54,$12.22,$2.85,No,$0.00,$42.61,$52.43,55.2%,0.00,Delivered
Pets,Yiwu Pet Products,$19.59,$3.74,$2.70,$0.03,$9.98,$1.00,$19.59,$3.74,$2.70,$0.59,No,$0.00,$17.01,$2.58,13.2%,1.96,Delivered
Lifestyle,Shenzhen Smart Home,$31.04,$9.92,$4.27,$0.03,$10.27,$1.00,$31.04,$9.92,$4.27,$0.93,No,$0.00,$25.39,$5.65,18.2%,3.02,Delivered
Electronics,Shenzhen Print Tech,$63.99,$22.69,$7.52,$0.03,$4.93,$2.00,$127.98,$45.38,$15.04,$3.84,No,$0.00,$69.19,$58.79,45.9%,25.96,Delivered
Fitness,Hangzhou Health Gear,$37.29,$8.73,$4.22,$0.03,$15.00,$2.00,$74.58,$17.46,$8.44,$2.24,No,$0.00,$43.14,$31.44,42.2%,4.97,Delivered
Automotive,Dongguan Auto Tools,$43.42,$13.80,$6.43,$0.03,$4.89,$1.00,$43.42,$13.80,$6.43,$1.30,No,$0.00,$26.42,$17.00,39.2%,8.88,Delivered
Lifestyle,Shenzhen Smart Home,$34.43,$9.64,$4.38,$0.03,$1.48,$1.00,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,-$1.48,0.0%,0.00,Cancelled
Accessories,Guangzhou Cases Ltd.,$14.16,$1.91,$1.83,$0.03,$0.00,$2.00,$28.32,$3.82,$3.66,$0.85,No,$0.00,$8.33,$19.99,70.6%,0.00,Delivered
Accessories,Guangzhou Cases Ltd.,$14.29,$1.95,$2.27,$0.03,$7.31,$2.00,$28.58,$3.90,$4.54,$0.86,No,$0.00,$16.61,$11.97,41.9%,3.91,Delivered
Kitchen,Foshan Appliances,$51.71,$17.07,$6.10,$0.03,$5.52,$2.00,$103.42,$34.14,$12.20,$3.10,No,$0.00,$54.96,$48.46,46.9%,18.74,Delivered
Kitchen,Foshan Appliances,$46.83,$15.27,$5.87,$0.03,$11.98,$3.00,$140.49,$45.81,$17.61,$4.21,No,$0.00,$79.61,$60.88,43.3%,11.73,Delivered
Lifestyle,Shenzhen Smart Home,$30.88,$9.78,$3.72,$0.03,$10.36,$1.00,$30.88,$9.78,$3.72,$0.93,No,$0.00,$24.79,$6.09,19.7%,2.98,Delivered
Automotive,Dongguan Auto Tools,$46.16,$13.94,$6.97,$0.03,$3.14,$1.00,$46.16,$13.94,$6.97,$1.38,No,$0.00,$25.43,$20.73,44.9%,14.70,Delivered
Electronics,Shenzhen Audio Co.,$36.59,$8.82,$4.42,$0.03,$10.45,$3.00,$109.77,$26.46,$13.26,$3.29,No,$0.00,$53.46,$56.31,51.3%,10.50,Delivered
Lifestyle,Shenzhen Smart Home,$34.22,$9.57,$3.77,$0.03,$0.00,$2.00,$68.44,$19.14,$7.54,$2.05,No,$0.00,$28.73,$39.71,58.0%,0.00,Delivered
Beauty,Ningbo Beauty Supply,$33.19,$7.18,$4.57,$0.03,$8.72,$1.00,$33.19,$7.18,$4.57,$1.00,No,$0.00,$21.47,$11.72,35.3%,3.81,Delivered
Kitchen,Foshan Appliances,$48.91,$15.24,$5.78,$0.03,$4.68,$2.00,$97.82,$30.48,$11.56,$2.93,No,$0.00,$49.65,$48.17,49.2%,20.90,Delivered
Accessories,Guangzhou Cases Ltd.,$16.16,$1.92,$2.01,$0.03,$7.23,$1.00,$16.16,$1.92,$2.01,$0.48,No,$0.00,$11.64,$4.52,28.0%,2.24,Delivered
Electronics,Shenzhen Print Tech,$61.04,$22.85,$6.98,$0.03,$8.90,$3.00,$183.12,$68.55,$20.94,$5.49,No,$0.00,$103.88,$79.24,43.3%,20.58,Delivered
Pets,Yiwu Pet Products,$19.12,$3.41,$2.28,$0.03,$9.56,$2.00,$38.24,$6.82,$4.56,$1.15,No,$0.00,$22.09,$16.15,42.2%,4.00,Delivered
Automotive,Dongguan Auto Tools,$48.35,$15.06,$7.46,$0.03,$0.00,$3.00,$145.05,$45.18,$22.38,$4.35,No,$0.00,$71.91,$73.14,50.4%,0.00,Delivered
Automotive,Dongguan Auto Tools,$42.68,$13.90,$6.11,$0.03,$18.77,$2.00,$85.36,$27.80,$12.22,$2.56,No,$0.00,$61.35,$24.01,28.1%,4.55,Delivered
Lifestyle,Shenzhen Smart Home,$33.95,$10.23,$4.47,$0.03,$0.00,$1.00,$33.95,$10.23,$4.47,$1.02,No,$0.00,$15.72,$18.23,53.7%,0.00,Delivered
Home Decor,Yiwu Lighting Factory,$27.65,$6.42,$3.74,$0.03,$4.27,$1.00,$27.65,$6.42,$3.74,$0.83,No,$0.00,$15.26,$12.39,44.8%,6.48,Delivered
Accessories,Guangzhou Cases Ltd.,$15.71,$1.98,$2.09,$0.03,$10.30,$2.00,$31.42,$3.96,$4.18,$0.94,No,$0.00,$19.38,$12.04,38.3%,3.05,Delivered
Beauty,Ningbo Beauty Supply,$32.61,$6.98,$4.99,$0.03,$4.48,$2.00,$65.22,$13.96,$9.98,$1.96,No,$0.00,$30.38,$34.84,53.4%,14.56,Delivered
Accessories,Guangzhou Cases Ltd.,$14.32,$1.94,$1.97,$0.03,$10.06,$2.00,$28.64,$3.88,$3.94,$0.86,No,$0.00,$18.74,$9.90,34.6%,2.85,Delivered
Home Decor,Yiwu Lighting Factory,$24.19,$6.39,$4.00,$0.03,$17.36,$2.00,$48.38,$12.78,$8.00,$1.45,Yes,$25.25,$64.84,-$16.46,-34.0%,2.79,Refunded
Electronics,Shenzhen Print Tech,$65.36,$21.03,$7.10,$0.03,$16.17,$2.00,$130.72,$42.06,$14.20,$3.92,No,$0.00,$76.35,$54.37,41.6%,8.08,Delivered
Electronics,Shenzhen Print Tech,$55.57,$22.16,$7.63,$0.03,$7.65,$2.00,$111.14,$44.32,$15.26,$3.33,No,$0.00,$70.56,$40.58,36.5%,14.53,Delivered
Kitchen,Foshan Appliances,$46.68,$17.26,$6.21,$0.03,$19.11,$2.00,$93.36,$34.52,$12.42,$2.80,No,$0.00,$68.85,$24.51,26.3%,4.89,Delivered
Automotive,Dongguan Auto Tools,$42.67,$13.96,$6.05,$0.03,$3.95,$1.00,$42.67,$13.96,$6.05,$1.28,No,$0.00,$25.24,$17.43,40.8%,10.80,Delivered
Fitness,Hangzhou Health Gear,$37.81,$9.49,$3.87,$0.03,$13.56,$2.00,$75.62,$18.98,$7.74,$2.27,No,$0.00,$42.55,$33.07,43.7%,5.58,Delivered
Electronics,Shenzhen Audio Co.,$43.69,$9.05,$4.04,$0.03,$6.67,$1.00,$43.69,$9.05,$4.04,$1.31,No,$0.00,$21.07,$22.62,51.8%,6.55,Delivered
Electronics,Shenzhen Print Tech,$57.55,$20.93,$6.74,$0.03,$12.35,$3.00,$172.65,$62.79,$20.22,$5.18,No,$0.00,$100.54,$72.11,41.8%,13.98,Delivered
Pets,Yiwu Pet Products,$20.66,$3.42,$2.63,$0.03,$10.65,$2.00,$41.32,$6.84,$5.26,$1.24,No,$0.00,$23.99,$17.33,41.9%,3.88,Delivered
Accessories,Guangzhou Cases Ltd.,$15.90,$1.97,$1.98,$0.03,$0.00,$3.00,$47.70,$5.91,$5.94,$1.43,No,$0.00,$13.28,$34.42,72.2%,0.00,Delivered
Automotive,Dongguan Auto Tools,$48.73,$13.96,$6.11,$0.03,$3.24,$1.00,$48.73,$13.96,$6.11,$1.46,No,$0.00,$24.77,$23.96,49.2%,15.04,Delivered
Electronics,Shenzhen Print Tech,$58.78,$22.54,$7.08,$0.03,$11.28,$2.00,$117.56,$45.08,$14.16,$3.53,No,$0.00,$74.05,$43.51,37.0%,10.42,Delivered
Lifestyle,Shenzhen Smart Home,$33.28,$9.53,$3.81,$0.03,$0.00,$2.00,$66.56,$19.06,$7.62,$2.00,No,$0.00,$28.68,$37.88,56.9%,0.00,Delivered
Home Decor,Yiwu Lighting Factory,$26.26,$6.34,$3.49,$0.03,$0.00,$2.00,$52.52,$12.68,$6.98,$1.58,No,$0.00,$21.24,$31.28,59.6%,0.00,Delivered
Lifestyle,Shenzhen Smart Home,$31.74,$10.60,$4.45,$0.03,$8.84,$1.00,$31.74,$10.60,$4.45,$0.95,No,$0.00,$24.84,$6.90,21.7%,3.59,Delivered
Electronics,Shenzhen Audio Co.,$36.40,$9.15,$4.45,$0.03,$8.12,$1.00,$36.40,$9.15,$4.45,$1.09,No,$0.00,$22.81,$13.59,37.3%,4.48,Delivered
Electronics,Shenzhen Print Tech,$66.87,$23.66,$6.52,$0.03,$9.97,$1.00,$66.87,$23.66,$6.52,$2.01,Yes,$46.83,$88.99,-$22.12,-33.1%,6.71,Refunded
Accessories,Guangzhou Cases Ltd.,$15.99,$2.04,$2.21,$0.03,$4.33,$1.00,$15.99,$2.04,$2.21,$0.48,No,$0.00,$9.06,$6.93,43.3%,3.69,Delivered
Electronics,Shenzhen Audio Co.,$39.09,$8.46,$4.23,$0.03,$17.26,$3.00,$117.27,$25.38,$12.69,$3.52,Yes,$105.35,$164.20,-$46.93,-40.0%,6.79,Refunded
Electronics,Shenzhen Print Tech,$65.69,$23.16,$7.57,$0.03,$10.75,$2.00,$131.38,$46.32,$15.14,$3.94,No,$0.00,$76.15,$55.23,42.0%,12.22,Delivered
Fitness,Hangzhou Health Gear,$34.84,$9.22,$3.65,$0.03,$5.16,$1.00,$34.84,$9.22,$3.65,$1.05,No,$0.00,$19.08,$15.76,45.2%,6.75,Delivered
Electronics,Shenzhen Audio Co.,$37.55,$9.15,$4.41,$0.03,$15.14,$2.00,$75.10,$18.30,$8.82,$2.25,No,$0.00,$44.51,$30.59,40.7%,4.96,Delivered
Beauty,Ningbo Beauty Supply,$32.24,$7.36,$4.95,$0.03,$15.24,$3.00,$96.72,$22.08,$14.85,$2.90,No,$0.00,$55.07,$41.65,43.1%,6.35,Delivered
Electronics,Shenzhen Print Tech,$64.38,$23.32,$6.94,$0.03,$8.89,$1.00,$64.38,$23.32,$6.94,$1.93,Yes,$45.55,$86.63,-$22.25,-34.6%,7.24,Refunded
Pets,Yiwu Pet Products,$20.24,$3.57,$2.27,$0.03,$10.04,$1.00,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,-$10.04,0.0%,0.00,Cancelled
Electronics,Shenzhen Print Tech,$56.66,$22.76,$7.79,$0.03,$10.41,$1.00,$56.66,$22.76,$7.79,$1.70,No,$0.00,$42.66,$14.00,24.7%,5.44,Delivered
Automotive,Dongguan Auto Tools,$41.87,$13.50,$6.47,$0.03,$8.25,$1.00,$41.87,$13.50,$6.47,$1.26,No,$0.00,$29.48,$12.39,29.6%,5.08,Delivered
Pets,Yiwu Pet Products,$18.03,$3.72,$2.57,$0.03,$0.00,$2.00,$36.06,$7.44,$5.14,$1.08,No,$0.00,$13.66,$22.40,62.1%,0.00,Delivered
Automotive,Dongguan Auto Tools,$43.33,$13.45,$7.03,$0.03,$3.05,$1.00,$43.33,$13.45,$7.03,$1.30,No,$0.00,$24.83,$18.50,42.7%,14.21,Delivered
Fitness,Hangzhou Health Gear,$37.71,$9.00,$4.34,$0.03,$11.61,$2.00,$75.42,$18.00,$8.68,$2.26,No,$0.00,$40.55,$34.87,46.2%,6.50,Delivered
Electronics,Shenzhen Audio Co.,$39.62,$8.52,$4.56,$0.03,$16.47,$3.00,$118.86,$25.56,$13.68,$3.57,No,$0.00,$59.28,$59.58,50.1%,7.22,Delivered
Home Decor,Yiwu Lighting Factory,$26.13,$6.19,$3.70,$0.03,$0.00,$1.00,$26.13,$6.19,$3.70,$0.78,No,$0.00,$10.67,$15.46,59.2%,0.00,Delivered
Fitness,Hangzhou Health Gear,$37.35,$8.71,$4.18,$0.03,$4.75,$1.00,$37.35,$8.71,$4.18,$1.12,No,$0.00,$18.76,$18.59,49.8%,7.86,Delivered
Automotive,Dongguan Auto Tools,$44.96,$14.01,$6.57,$0.03,$8.68,$1.00,$44.96,$14.01,$6.57,$1.35,No,$0.00,$30.61,$14.35,31.9%,5.18,Delivered
Accessories,Guangzhou Cases Ltd.,$14.63,$2.14,$2.00,$0.03,$20.73,$3.00,$43.89,$6.42,$6.00,$1.32,No,$0.00,$34.47,$9.42,21.5%,2.12,Delivered
Electronics,Shenzhen Audio Co.,$42.02,$8.92,$3.78,$0.03,$7.58,$1.00,$42.02,$8.92,$3.78,$1.26,No,$0.00,$21.54,$20.48,48.7%,5.54,Delivered
Beauty,Ningbo Beauty Supply,$31.24,$7.33,$5.10,$0.03,$7.39,$1.00,$31.24,$7.33,$5.10,$0.94,No,$0.00,$20.76,$10.48,33.5%,4.23,Delivered
Accessories,Guangzhou Cases Ltd.,$16.44,$2.01,$1.94,$0.03,$6.84,$1.00,$16.44,$2.01,$1.94,$0.49,No,$0.00,$11.28,$5.16,31.4%,2.40,Delivered
Electronics,Shenzhen Audio Co.,$37.69,$9.07,$4.19,$0.03,$15.21,$2.00,$75.38,$18.14,$8.38,$2.26,No,$0.00,$43.99,$31.39,41.6%,4.96,Delivered
Pets,Yiwu Pet Products,$20.83,$3.47,$2.45,$0.03,$0.00,$1.00,$20.83,$3.47,$2.45,$0.62,No,$0.00,$6.54,$14.29,68.6%,0.00,Delivered
Accessories,Guangzhou Cases Ltd.,$14.90,$2.06,$2.26,$0.03,$7.78,$1.00,$14.90,$2.06,$2.26,$0.45,No,$0.00,$12.55,$2.35,15.8%,1.92,Delivered
Automotive,Dongguan Auto Tools,$43.20,$13.97,$6.67,$0.03,$26.99,$3.00,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,-$26.99,0.0%,0.00,Cancelled
Fitness,Hangzhou Health Gear,$36.36,$9.56,$4.03,$0.03,$6.21,$1.00,$36.36,$9.56,$4.03,$1.09,No,$0.00,$20.89,$15.47,42.5%,5.86,Delivered
Accessories,Guangzhou Cases Ltd.,$14.64,$2.15,$2.02,$0.03,$14.94,$2.00,$29.28,$4.30,$4.04,$0.88,No,$0.00,$24.16,$5.12,17.5%,1.96,Delivered
Accessories,Guangzhou Cases Ltd.,$16.51,$2.04,$1.91,$0.03,$15.86,$2.00,$33.02,$4.08,$3.82,$0.99,No,$0.00,$24.75,$8.27,25.0%,2.08,Delivered
Lifestyle,Shenzhen Smart Home,$34.51,$9.61,$3.96,$0.03,$5.66,$3.00,$103.53,$28.83,$11.88,$3.11,No,$0.00,$49.48,$54.05,52.2%,18.29,Delivered
Automotive,Dongguan Auto Tools,$47.42,$14.72,$7.05,$0.03,$14.50,$2.00,$94.84,$29.44,$14.10,$2.85,No,$0.00,$60.89,$33.95,35.8%,6.54,Delivered
Lifestyle,Shenzhen Smart Home,$35.11,$9.60,$4.55,$0.03,$13.93,$3.00,$105.33,$28.80,$13.65,$3.16,No,$0.00,$59.54,$45.79,43.5%,7.56,Delivered
Kitchen,Foshan Appliances,$48.91,$16.86,$6.54,$0.03,$3.53,$1.00,$48.91,$16.86,$6.54,$1.47,No,$0.00,$28.40,$20.51,41.9%,13.86,Delivered
Home Decor,Yiwu Lighting Factory,$23.60,$6.41,$3.49,$0.03,$6.18,$1.00,$23.60,$6.41,$3.49,$0.71,Yes,$16.94,$33.73,-$10.13,-42.9%,3.82,Refunded
Electronics,Shenzhen Print Tech,$59.37,$22.55,$6.45,$0.03,$5.25,$1.00,$59.37,$22.55,$6.45,$1.78,No,$0.00,$36.03,$23.34,39.3%,11.31,Delivered
Pets,Yiwu Pet Products,$21.89,$3.69,$2.74,$0.03,$2.21,$1.00,$21.89,$3.69,$2.74,$0.66,No,$0.00,$9.30,$12.59,57.5%,9.90,Delivered
Accessories,Guangzhou Cases Ltd.,$13.49,$2.02,$2.01,$0.03,$6.86,$2.00,$26.98,$4.04,$4.02,$0.81,No,$0.00,$15.73,$11.25,41.7%,3.93,Delivered
Home Decor,Yiwu Lighting Factory,$27.85,$5.80,$3.76,$0.03,$6.25,$1.00,$27.85,$5.80,$3.76,$0.84,No,$0.00,$16.65,$11.20,40.2%,4.46,Delivered
